Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
CPython,Builtin,Sorted,10,6.600050255656242e-06,0.00014495849609375
CPython,Builtin,Reversed,10,6.09993003308773e-06,0.00014495849609375
CPython,Builtin,AlmostSorted,10,5.700159817934036e-06,0.00014495849609375
CPython,Builtin,Random,500,4.329998046159744e-05,0.00388336181640625
CPython,Builtin,Sorted,500,5.100155249238014e-06,0.00388336181640625
CPython,Builtin,Reversed,500,1.7799902707338333e-05,0.00388336181640625
CPython,Builtin,AlmostSorted,500,1.3200100511312485e-05,0.00388336181640625
CPython,Builtin,Random,1000,7.16999638825655e-05,0.01146697998046875
CPython,Builtin,Sorted,1000,9.400071576237679e-06,0.00769805908203125
CPython,Builtin,Reversed,1000,7.799826562404633e-06,0.00769805908203125
CPython,Builtin,AlmostSorted,1000,2.4799956008791924e-05,0.0108642578125
CPython,Builtin,Random,50000,0.005100899841636419,0.5721817016601562
CPython,Builtin,Sorted,50000,0.00020779995247721672,0.38153839111328125
CPython,Builtin,Reversed,50000,0.00021580001339316368,0.38153839111328125
CPython,Builtin,AlmostSorted,50000,0.001083299983292818,0.571075439453125
CPython,Builtin,Random,1000000,0.18530569993890822,11.44390869140625
CPython,Builtin,Sorted,1000000,0.009604400023818016,7.629463195800781
CPython,Builtin,Reversed,1000000,0.011321600060909986,7.629463195800781
CPython,Builtin,AlmostSorted,1000000,0.05573350004851818,11.443878173828125
