Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
PyPy,Selection,Reversed,10,1.8900027498602867e-05,
PyPy,Selection,AlmostSorted,10,1.5199882909655573e-05,
PyPy,Selection,Random,500,0.0024097999557852,
PyPy,Selection,Sorted,500,0.0001383000053465,
PyPy,Selection,Reversed,500,0.0003865999169647,
PyPy,Selection,AlmostSorted,500,0.0001048999838531,
PyPy,Selection,Random,1000,0.0005450998432934,
PyPy,Selection,Sorted,1000,0.0003930001985281,
PyPy,Selection,Reversed,1000,0.001242599915713,
PyPy,Selection,AlmostSorted,1000,0.000486799981445,
PyPy,Insertion,Random,10,2.2399937734007835e-05,
PyPy,Insertion,Sorted,10,6.700167432427406e-06,
PyPy,Insertion,Reversed,10,1.5300000086426735e-05,
PyPy,Insertion,AlmostSorted,10,4.800036549568176e-06,
PyPy,Insertion,Random,500,0.0015813999343663,
PyPy,Insertion,Sorted,500,0.0001764001790434,
PyPy,Insertion,Reversed,500,0.0007258998230099,
PyPy,Insertion,AlmostSorted,500,0.0003354998771101,
PyPy,Insertion,Random,1000,0.0002450000029057,
PyPy,Insertion,Sorted,1000,0.0004403998609632,
PyPy,Insertion,Reversed,1000,0.0004834998399019,
PyPy,Insertion,AlmostSorted,1000,3.0499882996082303e-05,
PyPy,Quick,Random,10,0.0004926999099552,
PyPy,Quick,Sorted,10,2.359994687139988e-05,
PyPy,Quick,Reversed,10,2.4600187316536903e-05,
PyPy,Quick,AlmostSorted,10,2.2500054910779e-05,
PyPy,Quick,Random,500,0.0081826001405715,
PyPy,Quick,Sorted,500,0.0019415998831391,
PyPy,Quick,Reversed,500,0.0013050001580268,
PyPy,Quick,AlmostSorted,500,0.004139999859035,
PyPy,Quick,Random,1000,0.0063660000450909,
PyPy,Quick,Sorted,1000,0.0026295999996364,
PyPy,Quick,Reversed,1000,0.0032601000275462,
PyPy,Quick,AlmostSorted,1000,0.0009169999975711,
PyPy,Quick,Random,50000,0.0538023000117391,
PyPy,Quick,Sorted,50000,0.0147885999176651,
PyPy,Quick,Reversed,50000,0.0146457999944686,
PyPy,Quick,AlmostSorted,50000,0.0151227999012917,
PyPy,Quick,Random,1000000,0.6591079998761415,
PyPy,Quick,Sorted,1000000,0.4609115000348538,
PyPy,Quick,Reversed,1000000,0.397106199990958,
PyPy,Quick,AlmostSorted,1000000,0.4178251000121236,
PyPy,Merge,Random,10,4.3400097638368607e-05,
PyPy,Merge,Sorted,10,2.450007013976574e-05,
PyPy,Merge,Reversed,10,2.8300099074840546e-05,
PyPy,Merge,AlmostSorted,10,2.319994382560253e-05,
PyPy,Merge,Random,500,0.0042905998416244,
PyPy,Merge,Sorted,500,0.005050600040704,
PyPy,Merge,Reversed,500,0.0059544001705944,
PyPy,Merge,AlmostSorted,500,0.0019935998134315,
